StationName,City,State
"Mumbai Central","Mumbai","Maharashtra"
"Chhatrapati Shivaji Terminus","Mumbai","Maharashtra"
"New Delhi","Delhi","Delhi"
"Delhi Junction","Delhi","Delhi"
"Chennai Central","Chennai","Tamil Nadu"
"Howrah Junction","Kolkata","West Bengal"
"Bangalore City","Bangalore","Karnataka"
"Secunderabad Junction","Hyderabad","Telangana"
"Ahmedabad Junction","Ahmedabad","Gujarat"
"Pune Junction","Pune","Maharashtra"
"Jaipur Junction","Jaipur","Rajasthan"
"Lucknow Junction","Lucknow","Uttar Pradesh"
"Patna Junction","Patna","Bihar"
"Nagpur Junction","Nagpur","Maharashtra"
"Bhopal Junction","Bhopal","Madhya Pradesh"
"Indore Junction","Indore","Madhya Pradesh"
"Varanasi Junction","Varanasi","Uttar Pradesh"
"Kanpur Central","Kanpur","Uttar Pradesh"
"Allahabad Junction","Prayagraj","Uttar Pradesh"
"Amritsar Junction","Amritsar","Punjab"
"Chandigarh Junction","Chandigarh","Chandigarh"
"Guwahati Junction","Guwahati","Assam"
"Bhubaneswar","Bhubaneswar","Odisha"
"Visakhapatnam Junction","Visakhapatnam","Andhra Pradesh"
"Coimbatore Junction","Coimbatore","Tamil Nadu"
"Madurai Junction","Madurai","Tamil Nadu"
"Thiruvananthapuram Central","Thiruvananthapuram","Kerala"
"Kochi Junction","Kochi","Kerala"
"Mysore Junction","Mysore","Karnataka"
"Vijayawada Junction","Vijayawada","Andhra Pradesh"
"Tiruchirappalli Junction","Tiruchirappalli","Tamil Nadu"
"Ranchi Junction","Ranchi","Jharkhand"
"Raipur Junction","Raipur","Chhattisgarh"
"Jodhpur Junction","Jodhpur","Rajasthan"
"Udaipur City","Udaipur","Rajasthan"
"Dehradun","Dehradun","Uttarakhand"
"Haridwar Junction","Haridwar","Uttarakhand"
"Gorakhpur Junction","Gorakhpur","Uttar Pradesh"
"Jammu Tawi","Jammu","Jammu and Kashmir"
"Surat Junction","Surat","Gujarat"
"Vadodara Junction","Vadodara","Gujarat"
"Rajkot Junction","Rajkot","Gujarat"
"Bhavnagar Terminus","Bhavnagar","Gujarat"
"Jabalpur Junction","Jabalpur","Madhya Pradesh"
"Gwalior Junction","Gwalior","Madhya Pradesh"
"Agra Cantt","Agra","Uttar Pradesh"
"Bareilly Junction","Bareilly","Uttar Pradesh"
"Moradabad Junction","Moradabad","Uttar Pradesh"
"Gaya Junction","Gaya","Bihar"
"Dhanbad Junction","Dhanbad","Jharkhand"